find,photos
210,"435_57190-BE09_0064-A-064+0202-A-202_a.JPG, 435_ir_57190-A064+202.jpg"
211,379_57123-BE09_0203-A-203_a.JPG
212,380_57124-BE09_0204-A-204_a.JPG
213,381_57125_ii-gray.jpg
214,382_57126-A206.jpg
215,383_57127_gray.tif
216,384_57128-BE09_0208-A-208_a.JPG
217,385_57129-BE09_0209-A-209_a.JPG
218,386_57130-BE09_0210-A-210_a.jpg
219,57131-BE09_0211-A-211_a.jpg
2196,272_59002-BE10_59_001_026.jpg
22,418_57173-A015+052+087+187.JPG
220,387_57132-A212.jpg
221,388_57133-A213.jpg
222,389_57134-A214.jpg
223,390_57135-A215.jpg
224,391_57136-A216.jpg
225,392_57137-A217.jpg
226,393_57138-A218.jpg
227,394_57139-A219.jpg
228,370_57109_gray_A220+222.jpg
229,395_57140-A221.jpg
23,285_57012_gray.tif
230,370_57109_gray_A220+222.jpg
231,396_57141-A223.jpg
232,397_57142-A224.jpg
233,398_57143-A225.jpg
234,399_57144-A226.jpg
235,57145-BE09_0227-A-227_a.JPG
236,400_57146-A228.jpg
237,401_57147-A229.jpg
238,402_57148-A230.jpg
239,403_57149-A231.jpg
24,420_57175-A017+018+116.JPG
240,404_57150-A232.jpg
241,437_57192-A072+095+100+233.JPG
242,406_57152-A234.jpg
243,407_57153-A235.jpg
244,408_57154-A236.jpg
245,57155-BE09_0237-A-237_a.JPG
246,57156-BE09_0238-A-238_a.JPG
247,57157-BE09_0239-A-239_a.JPG
249,490_55004-A241.jpg
25,420_57175-A017+018+116.JPG
250,55005-BE09-55_029_007_A-242_a.JPG
251,54004-BE09-54_028_001_A-243_a.JPG
252,54005-BE09-54_028_002_A-244.jpg
253,409_57159-A245.jpg
254,410_57160-A246.jpg
255,411_57161-A247.jpg
256,57162-A248.jpg
257,412_57163-A249.jpg
258,413_57164-A250.jpg
259,55006-BE09-55_026_003_A-251_a.JPG
26,421_57176-A019+180.JPG
261,261_57200.002_DSC_0311-gray.jpg
262,"269v_left_57202.001-004_back_DSC_0462-gray.jpg, 269r_right_57202.001-004_DSC_0471-gray.jpg, 269v_right_57202.001-004_back_DSC_0464-gray.jpg, 269v_57202.001-004_back_DSC_0466-gray.jpg, 269r_left_57202.001-004_DSC_0470-gray.jpg, 269r_57202.001-004_DSC_0469-gray.jpg"
265,265_57207.006_DSC_0330-gray.jpg
27,422_57177-A020+039(1).jpg
272,267_57214-BE09_0264-a-013.jpg
28,286_57013-BE09_0021-A-021_a.JPG
286,57168-BE09_0278-A-254_a.JPG
287,"264r_57203.001-014_DSC_0478-gray.jpg, 264v_57203.001-014_back_DSC_0327-gray.jpg"
288,271_57201.001-015_DSC_0476-gray.jpg
29,423_57178-A022+040.JPG
30,287_57014-BE09_0023-A-023_a.JPG
31,288_57015-BE09_0024-A-024_a.JPG
32,289_57016-BE09_0025-A-025_a.JPG
33,424_57179-A026+037.JPG
34,416_57171-A013+027.jpg
35,425_57180-A028+044.jpg
36,290_57017-BE09_0029-A-029_b.JPG
37,"291_57018-BE09_0030-A-030_a.JPG, 291_ir_57018_gray.tif"
38,"292_57019-BE09_0031-A-031_a.JPG, 292_ir_57019_gray.tif"
39,427_57182-A032+133_top.JPG
40,444_57199_A033.tif
41,313_57040-BE09_0034-A-034_a.JPG
42,293_57020-BE09_0035-A-035_a.JPG
43,294_57021-BE09_0036-A-036_b.JPG
44,424_57179-A026+037.JPG
45,319_57046-BE09_0038-A-038_a.JPG
46,422_57177-A020+039(1).jpg
47,423_57178-A022+040.JPG
48,295_57022-BE09_0041-A-041+0086-A-186_a.JPG
49,296_57023-BE09_0042-A-042_a.JPG
50,429_57184-A043+114.JPG
51,425_57180-A028+044.jpg
52,297_57024-BE09_0045-A-045_b.JPG
53,298_57025_gray.tif
54,299_57026_gray.tif
55,426_57181-A003+048.jpg
56,430_57185-A049+140.JPG
57,"300_57027-BE09_0050-A-050_a.JPG, 300_ir_57027_i-gray.jpg"
58,301_57028_gray.tif
59,418_57173-A015+052+087+187.JPG
60,302_57029_gray.tif
61,303_57030-BE09_0054-A-054_b.JPG
62,431_57186-A055+080+093+192.JPG
63,"432_57187-BE09_0056-A-056+0071-A-071+0089-A-089_a.JPG, 432_ir_57187-A056+071+089.JPG"
6391,"270r_76008-Papyrus 002.jpg, 270v_top_76008-Papyrus 008.jpg, 270r_ir_76008_DSC_0308-gray.jpg, 270v_ir_76008_DSC_0304-gray.jpg"
64,304_57031-BE09_0057-A-057_a.JPG
65,305_57032_gray.tif
66,"433_57188-BE09_0059-A-059+0108-A-108+0121-a-121+0182-A-182_a.JPG, 433_ir_57188-A59+108+121+182.JPG"
67,434_57189-A060+090.JPG
68,306_57033_gray.tif
69,307_57034.tif
70,308_57035_ii-gray.jpg
71,"435_57190-BE09_0064-A-064+0202-A-202_a.JPG, 435_ir_57190-A064+202.jpg"
72,309_57036_gray.tif
73,323_57051-BE09_0066-A-066_a.JPG
74,310_57037-BE09_0067-A-067_a.JPG
75,311_57038_gray.tif
76,312_57039-BE09_0069-A-069_b.JPG
77,312_57039-BE09_0069-A-069_b.JPG
78,436_57191-A070+088.JPG
79,"432_57187-BE09_0056-A-056+0071-A-071+0089-A-089_a.JPG, 432_ir_57187-A056+071+089.JPG"
8,274_57001-BE09_0001-A-001_a.JPG
80,437_57192-A072+095+100+233.JPG
81,438_57193-A073+082+094.JPG
82,314_57041_ii-gray.jpg
83,315_57042-BE09_0075-A-075_a.JPG
84,316_57043_gray.tif
85,317_57044-BE09_0077-A-077_a.JPG
86,318_57045-BE09_0078-A-078_a.JPG
87,439_57194-A079+092.JPG
8799,"262r_color_not arranged_5427a_397915.jpg, 262v_5428a_397915.jpg, 262_CybelePapyrus_recto_397915.tif, 262_CybelePapyrus_verso_397915.tif"
88,431_57186-A055+080+093+192.JPG
89,"440_57195-BE09_0081-A-081+0122-A-122+0125-A-125_a.JPG, 440_ir_57195-A081+122+125.jpg"
9,275_57002-BE09_0002-A-002_a.JPG
90,438_57193-A073+082+094.JPG
91,"320_57047-BE09_0083-A-083_b.JPG, 320_ir_57047_gray.tif"
92,321_57048-BE09_0084-A-084_a.JPG
93,57049-BE09_0085-A-085_a.JPG
94,322_57050_gray.tif
95,418_57173-A015+052+087+187.JPG
96,436_57191-A070+088.JPG
97,"432_57187-BE09_0056-A-056+0071-A-071+0089-A-089_a.JPG, 432_ir_57187-A056+071+089.JPG"
98,434_57189-A060+090.JPG
99,"441_57196-BE09_0091-A-091+0102-A102+0105-A-105+0185-A185_a.JPG, 441_57196-A091+102+105+185.JPG"
