"find_id","specialist_id","year","speciality"
,,,
20812,1,,
20092,1,,
20148,1,,
20222,1,,
20223,1,,
20230,1,,
20231,1,,
20232,1,,
20233,1,,
20234,1,,
20235,1,,
20236,1,,
20237,1,,
20238,1,,
20239,1,,
20241,1,,
20242,1,,
20243,1,,
20245,1,,
20246,1,,
20247,1,,
20248,1,,
20793,1,,
20797,1,,
20798,1,,
20799,1,,
20800,1,,
20801,1,,
20802,1,,
20803,1,,
20804,1,,
20805,1,,
20806,1,,
20807,1,,
20808,1,,
20809,1,,
20810,1,,
20811,1,,
20813,1,,
20815,1,,
20817,1,,
20823,1,,
1940,2,,
2037,2,,
2042,2,,
3427,2,,
6175,2,,
28220,3,,
19315,4,,
20259,4,,
20271,4,,
20272,4,,
20273,4,,
20274,4,,
20288,4,,
20313,4,,
20796,4,,
21777,4,,
21778,4,,
21792,4,,
21798,4,,
21814,4,,
21828,4,,
21847,4,,
21848,4,,
21879,4,,
21881,4,,
21887,4,,
21888,4,,
21899,4,,
21906,4,,
21920,4,,
21937,4,,
21986,4,,
22011,4,,
22013,4,,
22016,4,,
22030,4,,
22034,4,,
22039,4,,
22058,4,,
22199,4,,
21695,4,,
5960,5,,
6874,5,,
13151,6,,
13510,6,,
13550,6,,
26509,8,,
5162,9,,
5165,9,,
5166,9,,
5207,9,,
5215,9,,
5239,9,,
5258,9,,
5266,9,,
5272,9,,
5285,9,,
5314,9,,
5368,9,,
5383,9,,
5384,9,,
5391,9,,
5401,9,,
5417,9,,
5451,9,,
5457,9,,
5468,9,,
5486,9,,
5524,9,,
5541,9,,
5543,9,,
5561,9,,
5582,9,,
5584,9,,
5590,9,,
5627,9,,
5636,9,,
5645,9,,
5652,9,,
5654,9,,
5658,9,,
5679,9,,
5681,9,,
5715,9,,
5729,9,,
5736,9,,
5742,9,,
5747,9,,
5762,9,,
5797,9,,
5799,9,,
5838,9,,
5841,9,,
5849,9,,
5853,9,,
5858,9,,
5866,9,,
5885,9,,
5892,9,,
5903,9,,
5932,9,,
5938,9,,
5956,9,,
5983,9,,
5985,9,,
6003,9,,
6009,9,,
6032,9,,
6034,9,,
6040,9,,
6053,9,,
6073,9,,
6083,9,,
6084,9,,
6103,9,,
6105,9,,
6118,9,,
6128,9,,
6130,9,,
6136,9,,
6140,9,,
6152,9,,
6159,9,,
6174,9,,
6189,9,,
6196,9,,
6201,9,,
6208,9,,
6214,9,,
6235,9,,
6239,9,,
6243,9,,
6262,9,,
6266,9,,
6277,9,,
6294,9,,
6295,9,,
6302,9,,
6318,9,,
6325,9,,
6326,9,,
6330,9,,
6338,9,,
6356,9,,
6374,9,,
6379,9,,
6384,9,,
6426,9,,
6432,9,,
6440,9,,
6448,9,,
6468,9,,
6495,9,,
6506,9,,
6532,9,,
6593,9,,
6618,9,,
6640,9,,
6642,9,,
6643,9,,
6645,9,,
6647,9,,
6656,9,,
6662,9,,
6670,9,,
6676,9,,
6677,9,,
6692,9,,
6695,9,,
6696,9,,
6718,9,,
6730,9,,
6778,9,,
6796,9,,
6807,9,,
6812,9,,
6818,9,,
6825,9,,
6838,9,,
6877,9,,
6878,9,,
6894,9,,
6923,9,,
6925,9,,
6927,9,,
6928,9,,
6936,9,,
6943,9,,
6956,9,,
6974,9,,
6981,9,,
7000,9,,
7015,9,,
7023,9,,
7024,9,,
7035,9,,
7042,9,,
7054,9,,
7063,9,,
7070,9,,
7083,9,,
7084,9,,
7115,9,,
7132,9,,
7144,9,,
7155,9,,
7166,9,,
7197,9,,
7203,9,,
7211,9,,
7219,9,,
7236,9,,
7243,9,,
7255,9,,
7272,9,,
7279,9,,
7287,9,,
7294,9,,
7317,9,,
7319,9,,
7320,9,,
7336,9,,
7364,9,,
7373,9,,
7389,9,,
7397,9,,
7412,9,,
7413,9,,
7415,9,,
7422,9,,
7450,9,,
7451,9,,
7457,9,,
7463,9,,
7555,9,,
7556,9,,
7562,9,,
7569,9,,
7596,9,,
7647,9,,
7691,9,,
7693,9,,
7704,9,,
7714,9,,
7715,9,,
7723,9,,
7724,9,,
7743,9,,
7793,9,,
7794,9,,
7797,9,,
7820,9,,
7842,9,,
7856,9,,
7871,9,,
7872,9,,
7873,9,,
7874,9,,
7875,9,,
7891,9,,
7903,9,,
7922,9,,
7954,9,,
7975,9,,
7978,9,,
7979,9,,
7983,9,,
7984,9,,
7985,9,,
7986,9,,
7987,9,,
7988,9,,
7989,9,,
7990,9,,
7991,9,,
7992,9,,
7994,9,,
7995,9,,
7996,9,,
7997,9,,
10538,9,,
10541,9,,
1055,10,,
1056,10,,
1057,10,,
1058,10,,
1059,10,,
1061,10,,
1064,10,,
1065,10,,
1066,10,,
1067,10,,
1068,10,,
1069,10,,
1070,10,,
1120,10,,
1176,10,,
1179,10,,
1246,10,,
1249,10,,
1253,10,,
1264,10,,
1267,10,,
1281,10,,
1863,10,,
1912,10,,
1947,10,,
2027,10,,
2262,10,,
2415,10,,
2538,10,,
3184,10,,
3452,10,,
4052,10,,
4065,10,,
4589,10,,
4590,10,,
4592,10,,
5209,10,,
5353,10,,
5362,10,,
5394,10,,
5534,10,,
5558,10,,
5569,10,,
5575,10,,
5661,10,,
5668,10,,
5726,10,,
5763,10,,
5781,10,,
5785,10,,
5894,10,,
5906,10,,
5907,10,,
5908,10,,
5961,10,,
5995,10,,
6024,10,,
6047,10,,
6066,10,,
6068,10,,
6114,10,,
6123,10,,
6166,10,,
6181,10,,
6226,10,,
6247,10,,
6311,10,,
6332,10,,
6370,10,,
6465,10,,
6480,10,,
6503,10,,
6524,10,,
6582,10,,
6587,10,,
6615,10,,
6686,10,,
6801,10,,
6859,10,,
6926,10,,
6934,10,,
6953,10,,
7044,10,,
7058,10,,
7205,10,,
7349,10,,
7371,10,,
7379,10,,
7448,10,,
7822,10,,
7926,10,,
7928,10,,
7944,10,,
7945,10,,
8564,10,,
8571,10,,
8662,10,,
8674,10,,
8787,10,,
8954,10,,
9102,10,,
9140,10,,
9256,10,,
9260,10,,
9323,10,,
9352,10,,
9358,10,,
9367,10,,
9391,10,,
9451,10,,
9457,10,,
9521,10,,
9580,10,,
9599,10,,
9645,10,,
9658,10,,
9721,10,,
9768,10,,
9787,10,,
9883,10,,
9923,10,,
9984,10,,
9985,10,,
9986,10,,
9987,10,,
10081,10,,
10119,10,,
10130,10,,
10135,10,,
10157,10,,
10168,10,,
10229,10,,
10232,10,,
10238,10,,
10290,10,,
10345,10,,
10409,10,,
10491,10,,
10554,10,,
10555,10,,
10576,10,,
10586,10,,
10633,10,,
10646,10,,
10667,10,,
10675,10,,
10779,10,,
10817,10,,
10848,10,,
10964,10,,
10992,10,,
11016,10,,
11159,10,,
11164,10,,
11181,10,,
11195,10,,
11205,10,,
11262,10,,
11270,10,,
11294,10,,
11308,10,,
11320,10,,
11334,10,,
11431,10,,
11448,10,,
11520,10,,
11534,10,,
11554,10,,
11578,10,,
11621,10,,
11631,10,,
11669,10,,
11679,10,,
11719,10,,
11722,10,,
11732,10,,
11800,10,,
11834,10,,
11863,10,,
11877,10,,
11912,10,,
11928,10,,
11994,10,,
12055,10,,
12105,10,,
12127,10,,
12151,10,,
12218,10,,
12272,10,,
12288,10,,
12305,10,,
12313,10,,
12344,10,,
12375,10,,
12463,10,,
12976,10,,
12977,10,,
12979,10,,
12980,10,,
13007,10,,
13012,10,,
13014,10,,
13038,10,,
13081,10,,
13090,10,,
13099,10,,
13106,10,,
13117,10,,
13131,10,,
13133,10,,
13302,10,,
13322,10,,
13397,10,,
13448,10,,
13452,10,,
13462,10,,
13481,10,,
13488,10,,
13493,10,,
13508,10,,
13511,10,,
13512,10,,
13519,10,,
13520,10,,
13540,10,,
13556,10,,
13566,10,,
13638,10,,
13654,10,,
13673,10,,
13744,10,,
13858,10,,
13894,10,,
13971,10,,
13980,10,,
13987,10,,
14008,10,,
14032,10,,
14065,10,,
14066,10,,
14096,10,,
14127,10,,
14159,10,,
14209,10,,
14261,10,,
14276,10,,
14277,10,,
14278,10,,
14280,10,,
14283,10,,
14296,10,,
14297,10,,
14298,10,,
14308,10,,
14312,10,,
14315,10,,
14371,10,,
14389,10,,
14401,10,,
14412,10,,
14430,10,,
14431,10,,
14434,10,,
14499,10,,
14509,10,,
14526,10,,
14540,10,,
14565,10,,
14596,10,,
14604,10,,
14607,10,,
14617,10,,
14624,10,,
14633,10,,
14663,10,,
14748,10,,
14757,10,,
14765,10,,
14793,10,,
14857,10,,
14886,10,,
14892,10,,
14909,10,,
14957,10,,
14958,10,,
14970,10,,
14980,10,,
14990,10,,
14993,10,,
15255,10,,
15264,10,,
15315,10,,
15328,10,,
15344,10,,
21382,10,,
21383,10,,
21384,10,,
21385,10,,
21386,10,,
21387,10,,
21388,10,,
21389,10,,
21390,10,,
21391,10,,
21392,10,,
21393,10,,
21394,10,,
21395,10,,
21396,10,,
21397,10,,
21398,10,,
21399,10,,
21400,10,,
21401,10,,
21402,10,,
21403,10,,
21404,10,,
21405,10,,
21406,10,,
21407,10,,
21408,10,,
21409,10,,
21410,10,,
21411,10,,
21412,10,,
21413,10,,
21414,10,,
21415,10,,
21416,10,,
21417,10,,
21418,10,,
21419,10,,
21420,10,,
21421,10,,
21422,10,,
21423,10,,
2235,10,2013,
2343,10,2014,
2721,10,2014,
2725,10,2014,
2742,10,2014,
2850,10,2014,
3352,10,2014,
5121,10,2014,
13010,10,,
27188,10,,
13379,10,,
13442,10,,
13589,10,,
13624,10,,
13809,10,,
13832,10,,
13860,10,,
13961,10,,
14046,10,,
14470,10,,
14489,10,,
14887,10,,
14932,10,,
14994,10,,
15236,10,,
15262,10,,
15304,10,,
4580,10,,
19209,11,2015,
15044,29,2014,
20225,12,,
20226,12,,
19214,12,,
19215,12,,
20224,12,,
357,13,,
358,13,,
359,13,,
360,13,,
361,13,,
362,13,,
363,13,,
364,13,,
365,13,,
366,13,,
367,13,,
368,13,,
369,13,,
370,13,,
371,13,,
372,13,,
373,13,,
374,13,,
375,13,,
376,13,,
377,13,,
378,13,,
379,13,,
380,13,,
381,13,,
382,13,,
383,13,,
384,13,,
385,13,,
386,13,,
387,13,,
388,13,,
389,13,,
390,13,,
391,13,,
392,13,,
393,13,,
394,13,,
395,13,,
396,13,,
397,13,,
398,13,,
399,13,,
400,13,,
401,13,,
402,13,,
403,13,,
404,13,,
405,13,,
406,13,,
407,13,,
408,13,,
409,13,,
410,13,,
411,13,,
412,13,,
413,13,,
414,13,,
415,13,,
416,13,,
417,13,,
418,13,,
419,13,,
421,13,,
422,13,,
424,13,,
425,13,,
426,13,,
427,13,,
428,13,,
429,13,,
433,13,,
434,13,,
435,13,,
436,13,,
437,13,,
438,13,,
486,13,,
487,13,,
491,13,,
545,13,,
546,13,,
547,13,,
548,13,,
549,13,,
550,13,,
551,13,,
552,13,,
553,13,,
554,13,,
555,13,,
556,13,,
557,13,,
558,13,,
559,13,,
722,13,,
723,13,,
724,13,,
725,13,,
726,13,,
727,13,,
728,13,,
729,13,,
730,13,,
731,13,,
732,13,,
733,13,,
734,13,,
735,13,,
736,13,,
737,13,,
738,13,,
739,13,,
740,13,,
741,13,,
742,13,,
743,13,,
744,13,,
745,13,,
746,13,,
747,13,,
748,13,,
749,13,,
750,13,,
751,13,,
753,13,,
757,13,,
759,13,,
760,13,,
762,13,,
763,13,,
764,13,,
1718,13,,
1721,13,,
1722,13,,
1724,13,,
1730,13,,
1731,13,,
1733,13,,
1736,13,,
1737,13,,
1742,13,,
1746,13,,
1748,13,,
1754,13,,
1758,13,,
1761,13,,
1764,13,,
1766,13,,
1767,13,,
1768,13,,
1770,13,,
1772,13,,
1778,13,,
3188,13,,
3458,13,,
4237,13,,
4423,13,,
4667,13,,
4668,13,,
4669,13,,
4670,13,,
4671,13,,
4672,13,,
4673,13,,
4674,13,,
4690,13,,
4691,13,,
4692,13,,
4699,13,,
4700,13,,
4701,13,,
4702,13,,
4703,13,,
4828,13,,
4829,13,,
5122,13,,
5123,13,,
5153,13,,
5172,13,,
5178,13,,
5214,13,,
5227,13,,
5235,13,,
5240,13,,
5243,13,,
5260,13,,
5270,13,,
5290,13,,
5293,13,,
5318,13,,
5333,13,,
5349,13,,
5354,13,,
5366,13,,
5371,13,,
5388,13,,
5395,13,,
5403,13,,
5407,13,,
5415,13,,
5442,13,,
5454,13,,
5479,13,,
5494,13,,
5495,13,,
5521,13,,
5523,13,,
5529,13,,
5535,13,,
5537,13,,
5555,13,,
5556,13,,
5580,13,,
5597,13,,
5641,13,,
5662,13,,
5666,13,,
5669,13,,
5671,13,,
5689,13,,
5701,13,,
5705,13,,
5706,13,,
5724,13,,
5753,13,,
5757,13,,
5774,13,,
5775,13,,
5788,13,,
5795,13,,
5801,13,,
5811,13,,
5836,13,,
5864,13,,
5871,13,,
5873,13,,
5880,13,,
5886,13,,
5895,13,,
5912,13,,
5915,13,,
5948,13,,
5964,13,,
5967,13,,
5982,13,,
5990,13,,
6001,13,,
6016,13,,
6037,13,,
6049,13,,
6063,13,,
6067,13,,
6078,13,,
6096,13,,
6110,13,,
6116,13,,
6124,13,,
6127,13,,
6171,13,,
6182,13,,
6183,13,,
6210,13,,
6218,13,,
6225,13,,
6227,13,,
6248,13,,
6269,13,,
6276,13,,
6281,13,,
6309,13,,
6333,13,,
6355,13,,
6360,13,,
6366,13,,
6394,13,,
6410,13,,
6419,13,,
6439,13,,
6443,13,,
6460,13,,
6479,13,,
6486,13,,
6493,13,,
6494,13,,
6496,13,,
6551,13,,
6570,13,,
6583,13,,
6590,13,,
6605,13,,
6608,13,,
6629,13,,
6654,13,,
6658,13,,
6668,13,,
6689,13,,
6705,13,,
6710,13,,
6769,13,,
6771,13,,
6777,13,,
6787,13,,
6791,13,,
6802,13,,
6824,13,,
6827,13,,
6844,13,,
6853,13,,
6867,13,,
6910,13,,
6911,13,,
6949,13,,
6965,13,,
6966,13,,
6986,13,,
6993,13,,
6994,13,,
7003,13,,
7034,13,,
7056,13,,
7061,13,,
7100,13,,
7104,13,,
7119,13,,
7137,13,,
7140,13,,
7142,13,,
7151,13,,
7167,13,,
7173,13,,
7188,13,,
7194,13,,
7201,13,,
7207,13,,
7213,13,,
7227,13,,
7245,13,,
7262,13,,
7281,13,,
7303,13,,
7313,13,,
7314,13,,
7339,13,,
7370,13,,
7382,13,,
7385,13,,
7400,13,,
7403,13,,
7407,13,,
7420,13,,
7434,13,,
7442,13,,
7474,13,,
7502,13,,
7503,13,,
7504,13,,
7505,13,,
7507,13,,
7508,13,,
7509,13,,
7510,13,,
7511,13,,
7512,13,,
7513,13,,
7514,13,,
7515,13,,
7516,13,,
7517,13,,
7518,13,,
7519,13,,
7520,13,,
7521,13,,
7523,13,,
7524,13,,
7525,13,,
7526,13,,
7527,13,,
7528,13,,
7529,13,,
7530,13,,
7531,13,,
7532,13,,
7533,13,,
7534,13,,
7535,13,,
7536,13,,
7537,13,,
7538,13,,
7539,13,,
7540,13,,
7541,13,,
7543,13,,
7544,13,,
7545,13,,
7547,13,,
7548,13,,
7549,13,,
7550,13,,
7551,13,,
7552,13,,
7554,13,,
7577,13,,
7588,13,,
7593,13,,
7655,13,,
7660,13,,
7674,13,,
7682,13,,
7689,13,,
7732,13,,
7744,13,,
7745,13,,
7841,13,,
7879,13,,
7900,13,,
7901,13,,
7902,13,,
7909,13,,
7910,13,,
7924,13,,
7998,13,,
7999,13,,
8000,13,,
8001,13,,
8002,13,,
8003,13,,
8004,13,,
8005,13,,
8006,13,,
8007,13,,
8008,13,,
8009,13,,
8010,13,,
8012,13,,
8013,13,,
8014,13,,
8015,13,,
8016,13,,
8017,13,,
8018,13,,
8021,13,,
8022,13,,
8023,13,,
8024,13,,
8025,13,,
8026,13,,
8027,13,,
8028,13,,
8029,13,,
8030,13,,
8031,13,,
8032,13,,
8033,13,,
8035,13,,
8036,13,,
8037,13,,
8038,13,,
8039,13,,
8040,13,,
8041,13,,
8043,13,,
8044,13,,
8050,13,,
8051,13,,
8052,13,,
8053,13,,
8055,13,,
8056,13,,
8057,13,,
8058,13,,
8059,13,,
8060,13,,
8061,13,,
8062,13,,
8063,13,,
8064,13,,
8065,13,,
8066,13,,
8067,13,,
8068,13,,
8069,13,,
8070,13,,
8071,13,,
8072,13,,
8073,13,,
8074,13,,
8075,13,,
11093,13,,
11120,13,,
11239,13,,
11726,13,,
11998,13,,
12034,13,,
12045,13,,
12347,13,,
12348,13,,
12447,13,,
12448,13,,
12449,13,,
12474,13,,
12475,13,,
12550,13,,
12551,13,,
12552,13,,
12553,13,,
12554,13,,
12573,13,,
12576,13,,
12578,13,,
12581,13,,
12582,13,,
12584,13,,
12590,13,,
12592,13,,
12601,13,,
12602,13,,
12603,13,,
12604,13,,
12607,13,,
12608,13,,
12609,13,,
12610,13,,
12611,13,,
12612,13,,
12622,13,,
12633,13,,
10365,13,2013,
28726,13,2013,
273,14,,
274,14,,
275,14,,
276,14,,
277,14,,
278,14,,
279,14,,
280,14,,
281,14,,
282,14,,
283,14,,
1775,14,,
5265,14,,
5323,14,,
5450,14,,
5725,14,,
5805,14,,
6061,14,,
6265,14,,
6475,14,,
6906,14,,
6973,14,,
7381,14,,
7489,14,,
7651,14,,
7658,14,,
7661,14,,
7662,14,,
7664,14,,
7666,14,,
7667,14,,
7713,14,,
7785,14,,
7889,14,,
1543,15,,
1544,15,,
1557,15,,
1665,15,,
5483,15,,
5530,15,,
5545,15,,
5814,15,,
5940,15,,
6305,15,,
6499,15,,
6628,15,,
7241,15,,
7439,15,,
13134,15,,
16489,15,,
2635,15,,
4072,15,,
8912,15,,
9261,15,,
9448,15,,
9464,15,,
9503,15,,
9833,15,,
10054,15,,
10271,15,,
10368,15,,
19206,16,2015,
28653,17,,
28654,17,,
28656,17,,
13004,19,,
13008,19,,
13057,19,,
13063,19,,
13075,19,,
13078,19,,
13103,19,,
13120,19,,
13128,19,,
13155,19,,
13161,19,,
13165,19,,
13177,19,,
13189,19,,
13200,19,,
13204,19,,
13219,19,,
13231,19,,
13235,19,,
13251,19,,
13257,19,,
13291,19,,
13315,19,,
13321,19,,
13328,19,,
13334,19,,
13339,19,,
13343,19,,
13348,19,,
13354,19,,
13364,19,,
13383,19,,
13390,19,,
13401,19,,
13408,19,,
13409,19,,
13417,19,,
13421,19,,
13425,19,,
13429,19,,
13434,19,,
13445,19,,
13478,19,,
13491,19,,
13498,19,,
13515,19,,
13534,19,,
13583,19,,
13616,19,,
13623,19,,
13629,19,,
13635,19,,
13636,19,,
13643,19,,
13649,19,,
13652,19,,
13661,19,,
13669,19,,
13672,19,,
13681,19,,
13686,19,,
13689,19,,
13699,19,,
13706,19,,
13717,19,,
13722,19,,
13736,19,,
13742,19,,
13756,19,,
13760,19,,
13767,19,,
13773,19,,
13777,19,,
13782,19,,
13786,19,,
13793,19,,
13797,19,,
13806,19,,
13815,19,,
13844,19,,
13872,19,,
13880,19,,
13886,19,,
13897,19,,
13917,19,,
13920,19,,
13924,19,,
13930,19,,
13933,19,,
13939,19,,
13944,19,,
13949,19,,
13960,19,,
13968,19,,
13973,19,,
13979,19,,
13982,19,,
13985,19,,
13993,19,,
13999,19,,
14006,19,,
14013,19,,
14033,19,,
14061,19,,
14074,19,,
14076,19,,
14083,19,,
14092,19,,
14093,19,,
14103,19,,
14106,19,,
14109,19,,
14115,19,,
14122,19,,
14125,19,,
14136,19,,
14149,19,,
14161,19,,
14217,19,,
14236,19,,
14301,19,,
14302,19,,
14304,19,,
14318,19,,
14329,19,,
14337,19,,
14340,19,,
14341,19,,
14342,19,,
14345,19,,
14348,19,,
14351,19,,
14356,19,,
14360,19,,
14377,19,,
14390,19,,
14400,19,,
14406,19,,
14407,19,,
14417,19,,
14422,19,,
14464,19,,
14471,19,,
14479,19,,
14498,19,,
14510,19,,
14515,19,,
14528,19,,
14534,19,,
14548,19,,
14552,19,,
14554,19,,
14561,19,,
14572,19,,
14581,19,,
14582,19,,
14584,19,,
14599,19,,
14609,19,,
14610,19,,
14621,19,,
14630,19,,
14640,19,,
14644,19,,
14647,19,,
14671,19,,
14683,19,,
14691,19,,
14692,19,,
14693,19,,
14694,19,,
14695,19,,
14696,19,,
14697,19,,
14698,19,,
14699,19,,
14736,19,,
14741,19,,
14753,19,,
14763,19,,
14777,19,,
14788,19,,
14801,19,,
14809,19,,
14814,19,,
14823,19,,
14830,19,,
14835,19,,
14839,19,,
14843,19,,
14847,19,,
14856,19,,
14861,19,,
14864,19,,
14869,19,,
14870,19,,
14899,19,,
14911,19,,
14922,19,,
14997,19,,
15168,19,,
15175,19,,
15185,19,,
15189,19,,
15195,19,,
15206,19,,
15217,19,,
15227,19,,
15245,19,,
15249,19,,
15259,19,,
15279,19,,
15294,19,,
15301,19,,
15311,19,,
15317,19,,
15326,19,,
15334,19,,
15345,19,,
15363,19,,
15392,19,,
15401,19,,
15402,19,,
15405,19,,
15407,19,,
15408,19,,
15410,19,,
15411,19,,
15412,19,,
15413,19,,
15417,19,,
15421,19,,
15429,19,,
15434,19,,
15438,19,,
15442,19,,
15443,19,,
15446,19,,
15448,19,,
15451,19,,
15455,19,,
15459,19,,
15463,19,,
15465,19,,
15488,19,,
15489,19,,
15490,19,,
15491,19,,
15492,19,,
15493,19,,
15494,19,,
15495,19,,
15496,19,,
15497,19,,
15498,19,,
15499,19,,
15500,19,,
15501,19,,
15502,19,,
15503,19,,
15504,19,,
15505,19,,
15506,19,,
15508,19,,
22163,19,,
18498,19,2015,
18499,19,2015,
20831,20,,
29008,21,,
29043,21,,
29044,21,,
19774,22,,
19987,22,,
20479,22,,
20554,22,,
20594,22,,
20595,22,,
20609,22,,
20928,22,,
20929,22,,
20930,22,,
20931,22,,
20932,22,,
20593,23,,
20596,23,,
20597,23,,
20598,23,,
20599,23,,
20600,23,,
20601,23,,
20602,23,,
20603,23,,
13152,24,,
13708,24,,
13864,24,,
14042,24,,
14050,24,,
14052,24,,
14055,24,,
14272,24,,
14427,24,,
14473,24,,
14775,24,,
14890,24,,
14894,24,,
14973,24,,
14977,24,,
15002,24,,
15285,24,,
20650,24,,
20751,24,,
20752,24,,
20753,24,,
20759,24,,
20761,24,,
20762,24,,
20778,24,,
20787,24,,
20789,24,,
25307,24,,
25311,24,,
25329,24,,
25496,24,,
25497,24,,
25498,24,,
25499,24,,
25793,24,,
25794,24,,
16866,24,2015,
16877,24,2015,
17202,24,2015,
5316,24,,
5859,24,,
6205,24,,
6989,24,,
6990,24,,
