"find::id","picture:id","picture::type","picture::size","picture::file","picture::path","photo author","photo2","photo author 2","drawing no","drawing author","drawing"
15048,40,"photo","1038,817","BE00_lamps/BE00-10_502_PB979_a-d_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-10_502_PB979_a-d_01baza.jpg","Zych, I. (2010)","size:1061,867
image:BE00_lamps/BE00-10_502_PB979_a-d_02baza.jpg
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-10_502_PB979_a-d_02baza.jpg","BE00-10_502_PB979_a-d_01baza.jpg; BE00-10_502_PB979_a-d_02baza.jpg",,"Zych, I. (2014)",
15020,41,"photo","1041,938","BE99_lamps/BE99_29_017_PB026_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE99_lamps/BE99_29_017_PB026_01baza.jpg","Zych, I.","size:999,876
image:BE99_lamps/BE99_29_017_PB026_02baza.jpg
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE99_lamps/BE99_29_017_PB026_02baza.jpg","BE99_29_017_PB026_01baza; BE99_29_017_PB026_02baza",,"Zych, I. (2014)",
12826,42,"photo","1045,579","BE00_lamps/BE00-10_548_PB1034_2_baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-10_548_PB1034_2_baza.jpg","Zych, I. (2010)",,"BE00-10_548_PB1034_2_baza.jpg","BE13_drawing090_lamps.jpg","Zych, I. (2013)",
445,43,"photo","1051,1412","BE09_objects_gg_lamps/BE09-55_010_001_gg-007_a.JPG","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-55_010_001_gg-007_a.JPG","Zych, I.","size:983,1380
image:BE09_objects_gg_lamps/BE09-55_010_001_gg-007_b.JPG
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry_2010/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-55_010_001_gg-007_b.JPG",,,"Zych, I.; inking Woźniak, M.; digitizing Puszkarski, M.","size:642,940
image:BE09_objects_gg_lamps/BE09-55_010_001_D_lamp.tif
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry_2010/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-55_010_001_D_lamp.tif"
12847,44,"photo","1054,1320","BE00_lamps/BE00-33_999_PB075_3_baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE00_lamps/BE00-33_999_PB075_3_baza.jpg","Zych, I. (2010)",,"BE00-33_999_PB075_3_baza.jpg",,"Zych, I. (2013)",
12972,45,"photo","1058,1333","BE97_lamps/BE97-999_005_0361-g-005_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE97_lamps/BE97-999_005_0361-g-005_01baza.jpg","Zych, I. (2010)",,"BE97-999_005_0361-g-005_01baza.jpg",,"Zych, I. (2013)",
450,46,"photo","1058,1513","BE09_objects_gg_lamps/BE09-55_033_004_gg-012_a.JPG","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-55_033_004_gg-012_a.JPG","Zych, I.","size:1045,1390
image:BE09_objects_gg_lamps/BE09-55_033_004_gg-012_b.JPG
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry_2010/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-55_033_004_gg-012_b.JPG",,,"Zych, I.; inking Woźniak, M.; digitizing Puszkarski, M.","size:672,1365
image:BE09_objects_gg_lamps/BE09-55_033_004_D_lamp.tif
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry_2010/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-55_033_004_D_lamp.tif"
14281,47,"photo","1061,1226","BE14_lamps/BE14-97_024_001_PB025_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE14_nowa baza danych/BE14_lamps/BE14-97_024_001_PB025_01baza.jpg","Zych, I. (2014)","size:1058,1320
image:BE14_lamps/BE14-97_024_001_PB025_02baza.jpg
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE14_nowa baza danych/BE14_lamps/BE14-97_024_001_PB025_02baza.jpg","BE14-97_024_001_PB025_01baza.jpg; BE14-97_024_001_PB025_02baza.jpg",,,
15011,48,"photo","1064,1064","BE99_lamps/BE99_10_279_PB583_01baza.jpg","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE99_lamps/BE99_10_279_PB583_01baza.jpg","Zych, I.","size:1096,986
image:BE99_lamps/BE99_10_279_PB583_02baza.jpg
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BE11_nowa baza danych/BE99_lamps/BE99_10_279_PB583_02baza.jpg","BE99_10_279_PB583_01baza.jpg; BE99_10_279_PB583_02baza.jpg",,"Zych, I. (2013)",
446,49,"photo","1067,1399","BE09_objects_gg_lamps/BE09-55_011_001_gg-008_a.JPG","/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-55_011_001_gg-008_a.JPG","Zych, I.","size:1302,1650
image:BE09_objects_gg_lamps/BE09-55_011_001_gg-008_c.JPG
imagewin:/C:/Documents and Settings/SIWA Iwona Zych/Pulpit/BERENIKE'08/BE_registry_2010/BERENIKE_finds_database/BE09_objects_gg_lamps/BE09-55_011_001_gg-008_c.JPG",,,,
