"26509",,,,,,"3982","aa","","2023-01-30 02:11:29","2023-01-22","","1 fragment of amphora with a dipinto, painted with black ink. Only one letter (?) preserved","L 3.1; W 3.8; th. 0.55 ","","","clay; black ink","LRA1","2024-07-19 08:36:04","dipinto on amphora","BE23-156/012/001","","","fragmentary","","1","","","found during pot-wash","","Geerts, R.","","","","7,1"
"6","BE","9","999","999","005","113","R+X","0547","","2009_01_29","","Round stone. carved sunken relief. Female sphinx, seated, looking to left.White deposit on underside (adhesive?)slightly blacker traces around the edge.","L. 1.2; W. 1.1;Th. 0.25;H.figure 0.9","","","stone?","","2011-01-12","intaglio","BE09-999/002","","","","","1","","","near BE09-57","","","","","",""
"7","BE","9","55","8","010","52","?","","","2009-01-29","not dated","recorded in PB as seprate PB for locus 7 ????, pottery , glass ","","","","ash, pottery","","2014-02-09 21:15:45","deposit with pottery"," ","","","",""," ","","","","","","","","","bag"
"8","BE","9","57","1","002","89","A","0001-A-001","","2009-01-29","","","","","tray 1","pottery","","2015-12-08 15:11:30","ostracon","BE09-57/001/023","","BE09_0001-A-001_a.JPG","","","1","","","","","","","","",""
"9","BE","9","57","1","002","89","A","0002-A-002","","2009-01-29","","","","","tray 1","pottery","","2015-12-08 15:13:51","ostracon","BE09-57/001/024","","BE09_0002-A-002_a.JPG","","","1","","","","","","","","",""
"10","BE","9","57","1","002","89","A","0003-A-003","","2009-01-29","","","","","tray 1","pottery","","2015-12-08 15:15:10","ostracon","BE09-57/001/025","","BE09_0003-A-003_a.JPG","","","1","","","joining frgs: A-003 and A-048","","","","","",""
"11","BE","9","57","1","002","89","A","0004-A-004","","2009-01-29","","","","","tray 1","pottery","","2014-02-09 21:15:55","ostracon","BE09-57/001/026","","","","","1","","","joining frgs: A-159 and A-004","","","","","",""
"12","BE","9","57","1","002","89","A","0005-A-005","","2009-01-29","","","","","tray 1","pottery","","2015-12-12 12:08:06","ostracon","BE09-57/001/027","","BE09_0005-A-005_a.JPG","","","1","","","","","","","","",""
"13","BE","9","57","1","002","89","A","0006-A-006","","2009_01_29","","","","","tray 2","pottery","","2015-12-12 12:09:34","ostracon","BE09-57/001/028","","BE09_0006-A-006_a.JPG","","","1","","","","","","","","",""
"14","BE","9","57","1","002","89","A","0007-A-007","","2009_01_29","","","","","tray 2","pottery","","2015-12-12 12:10:37","ostracon","BE09-57/001/029","","BE09_0007-A-007_a.JPG","","","1","","","","","","","","",""
"15","BE","9","57","1","002","89","A","0008-A-008","","2009_01_29","","","","","tray 2","pottery","","2015-12-12 12:11:35","ostracon","BE09-57/001/030","","BE09_0008-A-008_a.JPG","","","1","","","","","","","","",""
"16","BE","9","57","1","002","89","A","0009-A-009","","2009_01_29","","","","","tray 2","pottery","","2015-12-12 12:12:23","ostracon","BE09-57/001/031","","BE09_0009-A-009_b.JPG","","","1","","","","","","","","",""
"17","BE","9","57","1","002","89","A","0010-A-010","","2009_01_29","","","","","tray 3","pottery","","2015-12-12 12:13:22","ostracon","BE09-57/001/032","","BE09_0010-A-010_a.JPG","","","1","","","","","","","","",""
